id,gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,predicted_cltv,cltv_segment,income_band,policy_band,has_claims
89426,Female,Urban,High School,5L-10L,0,5,6072,More than 1,A,Gold,97115.57,Premium,5L-10L,More than 1,1
89427,Male,Rural,High School,5L-10L,0,5,3922,More than 1,B,Platinum,82492.05,Medium,5L-10L,More than 1,1
89428,Female,Urban,High School,More than 10L,0,0,2580,More than 1,A,Platinum,91940.98,High,More than 10L,More than 1,1
89429,Male,Rural,Bachelor,5L-10L,1,7,3608,More than 1,B,Gold,79570.84,Medium,5L-10L,More than 1,1
89430,Female,Urban,High School,5L-10L,1,7,6705,1,A,Platinum,48294.85,Medium,5L-10L,1,1
89431,Female,Urban,High School,<=2L,0,5,5890,More than 1,A,Platinum,92479.28,High,<=2L,More than 1,1
89432,Female,Rural,High School,5L-10L,0,6,5240,More than 1,A,Gold,91138.49,High,5L-10L,More than 1,1
89433,Male,Urban,Bachelor,<=2L,1,3,5381,1,A,Platinum,46034.82,Low,<=2L,1,1
89434,Female,Urban,High School,5L-10L,1,8,2626,1,C,Gold,46372.39,Low,5L-10L,1,1
89435,Male,Rural,High School,More than 10L,1,1,4592,1,A,Silver,45197.09,Low,More than 10L,1,1
89436,Male,Urban,Bachelor,2L-5L,1,1,2865,More than 1,B,Platinum,84636.62,Medium,2L-5L,More than 1,1
89437,Male,Urban,Bachelor,5L-10L,0,7,3337,1,B,Platinum,47619.13,Medium,5L-10L,1,1
89438,Male,Urban,High School,5L-10L,0,5,6577,More than 1,A,Platinum,101624.01,Premium,5L-10L,More than 1,1
89439,Male,Rural,High School,5L-10L,1,5,3442,1,A,Silver,46514.63,Low,5L-10L,1,1
89440,Male,Urban,Bachelor,5L-10L,0,1,6193,More than 1,A,Platinum,96384.92,Premium,5L-10L,More than 1,1
89441,Male,Urban,High School,2L-5L,0,3,6945,More than 1,B,Platinum,99156.44,Premium,2L-5L,More than 1,1
89442,Male,Urban,Bachelor,5L-10L,1,1,8057,1,C,Gold,50485.66,Medium,5L-10L,1,1
89443,Female,Rural,Bachelor,5L-10L,1,5,5387,More than 1,A,Platinum,86343.85,High,5L-10L,More than 1,1
89444,Male,Urban,Bachelor,5L-10L,0,8,15190,1,A,Gold,53078.9,Medium,5L-10L,1,1
89445,Male,Urban,High School,5L-10L,1,6,2763,More than 1,A,Platinum,86344.17,High,5L-10L,More than 1,1
89446,Male,Rural,High School,More than 10L,1,1,0,More than 1,A,Gold,84348.42,Medium,More than 10L,More than 1,0
89447,Male,Urban,High School,5L-10L,0,4,3930,More than 1,A,Platinum,95051.15,Premium,5L-10L,More than 1,1
89448,Male,Urban,Bachelor,2L-5L,1,6,7108,More than 1,A,Silver,95718.92,Premium,2L-5L,More than 1,1
89449,Male,Urban,High School,5L-10L,1,3,7740,More than 1,A,Platinum,102807.56,Premium,5L-10L,More than 1,1
89450,Male,Urban,Bachelor,2L-5L,1,1,5643,More than 1,A,Gold,88395.88,High,2L-5L,More than 1,1
89451,Female,Urban,High School,5L-10L,1,4,4987,More than 1,A,Gold,100840.19,Premium,5L-10L,More than 1,1
89452,Female,Urban,High School,2L-5L,1,4,6007,More than 1,A,Gold,94671.92,High,2L-5L,More than 1,1
89453,Male,Urban,High School,5L-10L,1,5,5610,More than 1,A,Silver,94368.51,High,5L-10L,More than 1,1
89454,Female,Urban,High School,5L-10L,1,2,8847,More than 1,A,Platinum,104466.17,Premium,5L-10L,More than 1,1
89455,Male,Urban,Bachelor,5L-10L,1,3,3551,More than 1,A,Platinum,88637.81,High,5L-10L,More than 1,1
89456,Female,Urban,High School,More than 10L,0,7,5225,More than 1,A,Platinum,109339.08,Premium,More than 10L,More than 1,1
89457,Female,Urban,High School,2L-5L,1,8,3119,More than 1,B,Gold,86555.95,High,2L-5L,More than 1,1
89458,Male,Urban,Bachelor,More than 10L,1,6,7714,More than 1,A,Platinum,107622.68,Premium,More than 10L,More than 1,1
89459,Male,Urban,High School,5L-10L,0,4,2489,More than 1,A,Silver,93714.76,High,5L-10L,More than 1,1
89460,Female,Urban,High School,More than 10L,0,6,6003,More than 1,A,Platinum,93933.56,High,More than 10L,More than 1,1
89461,Female,Urban,Bachelor,5L-10L,1,2,2557,More than 1,A,Gold,83125.98,Medium,5L-10L,More than 1,1
89462,Female,Rural,High School,More than 10L,1,4,0,More than 1,A,Platinum,79992.32,Medium,More than 10L,More than 1,0
89463,Male,Urban,Bachelor,5L-10L,1,6,4214,More than 1,B,Platinum,84076.49,Medium,5L-10L,More than 1,1
89464,Male,Urban,Bachelor,5L-10L,1,2,7900,More than 1,C,Silver,118784.77,Premium,5L-10L,More than 1,1
89465,Female,Urban,High School,5L-10L,1,7,6130,More than 1,C,Platinum,118479.71,Premium,5L-10L,More than 1,1
89466,Male,Rural,High School,More than 10L,0,7,2761,1,A,Silver,47141.62,Medium,More than 10L,1,1
89467,Male,Urban,High School,2L-5L,1,6,4525,More than 1,A,Platinum,94709.57,High,2L-5L,More than 1,1
89468,Female,Rural,Bachelor,5L-10L,1,0,0,1,C,Gold,45511.75,Low,5L-10L,1,0
89469,Female,Rural,Bachelor,More than 10L,1,8,3063,More than 1,A,Silver,85546.59,High,More than 10L,More than 1,1
89470,Female,Rural,Bachelor,More than 10L,1,6,0,1,A,Silver,45994.35,Low,More than 10L,1,0
89471,Female,Urban,High School,5L-10L,0,2,9918,More than 1,A,Platinum,112928.81,Premium,5L-10L,More than 1,1
89472,Male,Urban,Bachelor,2L-5L,1,5,4215,More than 1,A,Platinum,91164.79,High,2L-5L,More than 1,1
89473,Male,Urban,High School,5L-10L,0,3,4666,More than 1,A,Platinum,97238.47,Premium,5L-10L,More than 1,1
89474,Female,Urban,High School,More than 10L,0,4,4145,More than 1,C,Gold,90712.29,High,More than 10L,More than 1,1
89475,Male,Urban,High School,5L-10L,0,2,3304,More than 1,B,Silver,90907.69,High,5L-10L,More than 1,1
89476,Male,Urban,High School,2L-5L,1,4,10538,More than 1,A,Platinum,109067.09,Premium,2L-5L,More than 1,1
89477,Male,Urban,Bachelor,2L-5L,0,1,5971,1,A,Gold,44139.06,Low,2L-5L,1,1
89478,Male,Urban,Bachelor,5L-10L,1,1,7518,More than 1,A,Gold,95753.24,Premium,5L-10L,More than 1,1
89479,Male,Urban,High School,2L-5L,0,2,3995,More than 1,A,Silver,96728.67,Premium,2L-5L,More than 1,1
89480,Male,Rural,High School,5L-10L,1,3,2988,More than 1,A,Platinum,82688.61,Medium,5L-10L,More than 1,1
89481,Female,Rural,High School,5L-10L,1,6,4232,1,B,Gold,48376.35,Medium,5L-10L,1,1
89482,Female,Rural,High School,2L-5L,0,6,0,1,B,Gold,45166.28,Low,2L-5L,1,0
89483,Female,Rural,High School,5L-10L,1,6,4622,More than 1,A,Gold,90954.94,High,5L-10L,More than 1,1
89484,Male,Urban,Bachelor,5L-10L,1,6,2215,1,A,Platinum,46511.95,Low,5L-10L,1,1
89485,Female,Urban,High School,2L-5L,0,2,3601,More than 1,A,Silver,91061.38,High,2L-5L,More than 1,1
89486,Female,Urban,Bachelor,5L-10L,0,6,5792,More than 1,A,Gold,94899.9,High,5L-10L,More than 1,1
89487,Female,Urban,Bachelor,More than 10L,1,6,5806,More than 1,A,Silver,87886.76,High,More than 10L,More than 1,1
89488,Male,Rural,High School,More than 10L,1,5,0,More than 1,B,Gold,76000.28,Medium,More than 10L,More than 1,0
89489,Male,Urban,Bachelor,5L-10L,1,8,2577,1,A,Gold,46334.9,Low,5L-10L,1,1
89490,Female,Rural,Bachelor,More than 10L,1,2,2185,More than 1,B,Platinum,77708.14,Medium,More than 10L,More than 1,1
89491,Female,Rural,Bachelor,2L-5L,0,4,2834,More than 1,A,Platinum,85962.61,High,2L-5L,More than 1,1
89492,Female,Rural,Bachelor,More than 10L,0,6,2091,More than 1,A,Platinum,81183.55,Medium,More than 10L,More than 1,1
89493,Male,Rural,Bachelor,5L-10L,0,3,0,1,A,Platinum,43781.5,Low,5L-10L,1,0
89494,Male,Urban,High School,5L-10L,1,7,5662,1,B,Silver,44923.19,Low,5L-10L,1,1
89495,Female,Rural,Bachelor,5L-10L,0,6,5961,More than 1,B,Silver,80154.5,Medium,5L-10L,More than 1,1
89496,Female,Urban,Bachelor,5L-10L,1,6,2228,More than 1,B,Platinum,78180.39,Medium,5L-10L,More than 1,1
89497,Female,Urban,Bachelor,2L-5L,0,2,5733,More than 1,A,Silver,104279.79,Premium,2L-5L,More than 1,1
89498,Male,Urban,Bachelor,2L-5L,1,7,3405,More than 1,B,Silver,83812.4,Medium,2L-5L,More than 1,1
89499,Male,Urban,High School,5L-10L,1,5,4142,1,A,Platinum,45967.56,Low,5L-10L,1,1
89500,Female,Urban,High School,5L-10L,1,4,4689,More than 1,A,Silver,95916.25,Premium,5L-10L,More than 1,1
89501,Male,Urban,Bachelor,5L-10L,0,6,6736,1,A,Gold,49359.18,Medium,5L-10L,1,1
89502,Male,Rural,Bachelor,2L-5L,1,8,0,1,B,Silver,45753.97,Low,2L-5L,1,0
89503,Male,Urban,High School,5L-10L,0,7,8233,More than 1,A,Platinum,120299.86,Premium,5L-10L,More than 1,1
89504,Male,Urban,Bachelor,5L-10L,0,7,8910,More than 1,A,Platinum,106656.22,Premium,5L-10L,More than 1,1
89505,Male,Rural,High School,More than 10L,1,3,0,More than 1,B,Platinum,74716.43,Medium,More than 10L,More than 1,0
89506,Male,Urban,High School,5L-10L,1,5,3378,1,A,Platinum,45204.32,Low,5L-10L,1,1
89507,Male,Urban,High School,5L-10L,1,4,3562,More than 1,A,Gold,88804.03,High,5L-10L,More than 1,1
89508,Female,Rural,High School,More than 10L,1,7,0,More than 1,A,Platinum,80832.33,Medium,More than 10L,More than 1,0
89509,Male,Urban,High School,5L-10L,0,2,9689,More than 1,B,Platinum,102497.44,Premium,5L-10L,More than 1,1
89510,Female,Urban,High School,2L-5L,1,7,3037,1,B,Silver,45970.23,Low,2L-5L,1,1
89511,Male,Urban,High School,2L-5L,1,6,4752,More than 1,A,Gold,101153.35,Premium,2L-5L,More than 1,1
89512,Male,Urban,High School,5L-10L,1,4,9061,More than 1,A,Platinum,107470.24,Premium,5L-10L,More than 1,1
89513,Male,Urban,Bachelor,More than 10L,1,6,4229,More than 1,B,Platinum,81997.37,Medium,More than 10L,More than 1,1
89514,Female,Urban,Bachelor,5L-10L,0,8,7056,More than 1,A,Silver,97885.52,Premium,5L-10L,More than 1,1
89515,Female,Rural,Bachelor,5L-10L,1,2,2747,More than 1,C,Platinum,81719.03,Medium,5L-10L,More than 1,1
89516,Female,Urban,Bachelor,2L-5L,0,7,0,1,B,Gold,46021.3,Low,2L-5L,1,0
89517,Female,Rural,Bachelor,5L-10L,0,0,2117,More than 1,B,Platinum,78932.8,Medium,5L-10L,More than 1,1
89518,Female,Urban,Bachelor,<=2L,1,6,4433,1,A,Platinum,47952.56,Medium,<=2L,1,1
89519,Male,Urban,Bachelor,5L-10L,1,6,7375,More than 1,A,Platinum,120203.85,Premium,5L-10L,More than 1,1
89520,Male,Urban,Bachelor,<=2L,0,4,4121,1,B,Platinum,47057.25,Medium,<=2L,1,1
89521,Female,Urban,High School,5L-10L,1,1,4264,More than 1,A,Platinum,86163.35,High,5L-10L,More than 1,1
89522,Male,Urban,High School,5L-10L,1,6,3933,1,B,Platinum,46389.87,Low,5L-10L,1,1
89523,Male,Urban,High School,2L-5L,1,7,3285,1,C,Gold,45977.79,Low,2L-5L,1,1
89524,Female,Urban,High School,2L-5L,1,5,4159,1,A,Platinum,45910.04,Low,2L-5L,1,1
89525,Female,Rural,High School,5L-10L,1,1,0,More than 1,A,Gold,85149.5,Medium,5L-10L,More than 1,0
89526,Female,Urban,High School,5L-10L,0,2,6604,1,B,Gold,47362.27,Medium,5L-10L,1,1
89527,Female,Urban,High School,5L-10L,0,1,6465,1,A,Gold,45492.52,Low,5L-10L,1,1
89528,Female,Rural,High School,More than 10L,0,5,3644,More than 1,B,Platinum,85450.61,High,More than 10L,More than 1,1
89529,Female,Urban,High School,5L-10L,1,4,3673,More than 1,A,Platinum,88951.89,High,5L-10L,More than 1,1
89530,Female,Urban,Bachelor,2L-5L,0,3,4600,More than 1,A,Platinum,109118.26,Premium,2L-5L,More than 1,1
89531,Female,Urban,High School,More than 10L,0,7,7676,More than 1,A,Gold,107115.53,Premium,More than 10L,More than 1,1
89532,Male,Urban,Bachelor,5L-10L,1,7,0,1,C,Platinum,44772.47,Low,5L-10L,1,0
89533,Male,Urban,High School,5L-10L,0,7,6785,1,A,Gold,48545.69,Medium,5L-10L,1,1
89534,Male,Rural,High School,More than 10L,1,8,2911,More than 1,A,Gold,93755.4,High,More than 10L,More than 1,1
89535,Male,Urban,High School,2L-5L,1,7,3966,More than 1,B,Platinum,91540.39,High,2L-5L,More than 1,1
89536,Male,Urban,Bachelor,5L-10L,1,5,3709,More than 1,A,Platinum,89813.73,High,5L-10L,More than 1,1
89537,Male,Urban,High School,5L-10L,1,6,6142,More than 1,A,Silver,92414.73,High,5L-10L,More than 1,1
89538,Male,Urban,High School,5L-10L,0,7,6415,More than 1,A,Platinum,99400.18,Premium,5L-10L,More than 1,1
89539,Female,Urban,High School,5L-10L,0,8,20102,More than 1,B,Silver,99173.7,Premium,5L-10L,More than 1,1
89540,Female,Rural,High School,5L-10L,0,6,2836,1,C,Platinum,48242.09,Medium,5L-10L,1,1
89541,Male,Urban,High School,5L-10L,1,5,5742,More than 1,B,Platinum,93275.91,High,5L-10L,More than 1,1
89542,Female,Urban,Others,5L-10L,1,7,2446,More than 1,B,Silver,72508.48,Medium,5L-10L,More than 1,1
89543,Female,Urban,High School,5L-10L,0,5,2592,1,C,Platinum,46237.76,Low,5L-10L,1,1
89544,Female,Rural,High School,5L-10L,1,4,3125,More than 1,C,Platinum,87707.03,High,5L-10L,More than 1,1
89545,Female,Rural,High School,5L-10L,1,3,2510,1,C,Platinum,47043.63,Low,5L-10L,1,1
89546,Male,Urban,High School,5L-10L,0,8,13495,More than 1,A,Platinum,122300.78,Premium,5L-10L,More than 1,1
89547,Male,Rural,High School,5L-10L,1,4,0,More than 1,A,Platinum,79528.02,Medium,5L-10L,More than 1,0
89548,Female,Urban,Bachelor,More than 10L,0,5,6670,More than 1,B,Silver,83125.87,Medium,More than 10L,More than 1,1
89549,Male,Rural,High School,5L-10L,1,1,3249,More than 1,A,Platinum,80811.43,Medium,5L-10L,More than 1,1
89550,Female,Urban,Bachelor,More than 10L,0,0,5890,1,C,Platinum,44640.91,Low,More than 10L,1,1
89551,Male,Rural,Bachelor,More than 10L,0,7,4077,More than 1,A,Silver,85451.2,High,More than 10L,More than 1,1
89552,Male,Rural,High School,5L-10L,1,0,2386,More than 1,B,Platinum,75910.31,Medium,5L-10L,More than 1,1
89553,Male,Urban,Bachelor,5L-10L,1,4,6566,More than 1,B,Platinum,95107.63,Premium,5L-10L,More than 1,1
89554,Male,Urban,Bachelor,5L-10L,0,4,6468,1,A,Platinum,47166.92,Medium,5L-10L,1,1
89555,Male,Rural,Bachelor,5L-10L,1,7,2892,1,A,Platinum,50060.38,Medium,5L-10L,1,1
89556,Female,Rural,High School,More than 10L,1,6,3648,More than 1,A,Platinum,82076.23,Medium,More than 10L,More than 1,1
89557,Male,Urban,High School,5L-10L,1,8,3696,More than 1,A,Platinum,89484.78,High,5L-10L,More than 1,1
89558,Male,Urban,Bachelor,2L-5L,0,3,7286,More than 1,A,Gold,105105.31,Premium,2L-5L,More than 1,1
89559,Female,Urban,High School,5L-10L,1,8,4129,More than 1,A,Platinum,85453.41,High,5L-10L,More than 1,1
89560,Female,Urban,Bachelor,5L-10L,1,4,5144,1,A,Gold,42624.43,Low,5L-10L,1,1
89561,Male,Urban,High School,5L-10L,0,0,5207,More than 1,B,Platinum,94534.75,High,5L-10L,More than 1,1
89562,Male,Urban,Bachelor,5L-10L,0,8,5859,More than 1,A,Silver,110045.89,Premium,5L-10L,More than 1,1
89563,Female,Urban,Bachelor,5L-10L,1,1,0,More than 1,B,Silver,76383.76,Medium,5L-10L,More than 1,0
89564,Male,Urban,High School,5L-10L,0,4,6879,More than 1,A,Platinum,97117.85,Premium,5L-10L,More than 1,1
89565,Female,Rural,High School,5L-10L,0,6,0,More than 1,B,Gold,78201.27,Medium,5L-10L,More than 1,0
89566,Male,Urban,High School,5L-10L,1,2,6329,More than 1,A,Gold,91694.77,High,5L-10L,More than 1,1
89567,Female,Rural,Bachelor,5L-10L,1,1,2094,More than 1,A,Platinum,80742.58,Medium,5L-10L,More than 1,1
89568,Female,Rural,High School,5L-10L,0,8,8455,More than 1,A,Platinum,108780.87,Premium,5L-10L,More than 1,1
89569,Male,Rural,Bachelor,2L-5L,0,3,0,More than 1,B,Platinum,78296.33,Medium,2L-5L,More than 1,0
89570,Female,Urban,Bachelor,5L-10L,0,4,5990,More than 1,A,Platinum,94468.05,High,5L-10L,More than 1,1
89571,Male,Urban,High School,5L-10L,1,2,4035,More than 1,A,Gold,89608.84,High,5L-10L,More than 1,1
89572,Female,Urban,Bachelor,2L-5L,0,7,5472,1,A,Platinum,46608.3,Low,2L-5L,1,1
89573,Male,Rural,High School,5L-10L,1,2,0,1,C,Gold,43504.35,Low,5L-10L,1,0
89574,Male,Urban,High School,5L-10L,1,1,3326,1,A,Silver,44445.15,Low,5L-10L,1,1
89575,Male,Urban,High School,5L-10L,0,5,12112,More than 1,A,Platinum,113682.52,Premium,5L-10L,More than 1,1
89576,Female,Urban,Others,More than 10L,1,5,10872,More than 1,A,Gold,101416.17,Premium,More than 10L,More than 1,1
89577,Male,Rural,High School,More than 10L,1,0,0,1,C,Platinum,43364.0,Low,More than 10L,1,0
89578,Female,Rural,Others,2L-5L,0,7,2385,More than 1,B,Platinum,73218.1,Medium,2L-5L,More than 1,1
89579,Male,Urban,High School,5L-10L,1,7,7599,More than 1,A,Platinum,117256.2,Premium,5L-10L,More than 1,1
89580,Female,Urban,Bachelor,2L-5L,0,6,4092,More than 1,A,Platinum,95355.3,Premium,2L-5L,More than 1,1
89581,Male,Urban,High School,5L-10L,1,4,5414,More than 1,A,Platinum,91989.69,High,5L-10L,More than 1,1
89582,Male,Rural,High School,5L-10L,1,4,0,1,A,Gold,43279.42,Low,5L-10L,1,0
89583,Female,Rural,High School,5L-10L,0,2,3709,More than 1,A,Platinum,84207.76,Medium,5L-10L,More than 1,1
89584,Female,Rural,High School,5L-10L,1,3,0,More than 1,A,Gold,85798.74,High,5L-10L,More than 1,0
89585,Male,Urban,Bachelor,5L-10L,1,1,4802,1,A,Silver,42076.26,Low,5L-10L,1,1
89586,Female,Urban,Bachelor,5L-10L,1,6,4305,1,B,Silver,48265.06,Medium,5L-10L,1,1
89587,Female,Rural,High School,More than 10L,1,6,4757,1,C,Gold,43527.9,Low,More than 10L,1,1
89588,Male,Rural,Bachelor,5L-10L,1,5,0,1,B,Platinum,44540.76,Low,5L-10L,1,0
89589,Male,Rural,High School,5L-10L,1,6,2710,1,A,Platinum,46861.53,Low,5L-10L,1,1
89590,Female,Rural,Bachelor,2L-5L,0,8,9744,More than 1,B,Silver,92162.44,High,2L-5L,More than 1,1
89591,Male,Urban,Bachelor,5L-10L,0,5,10068,More than 1,A,Silver,123810.53,Premium,5L-10L,More than 1,1
89592,Male,Rural,Bachelor,5L-10L,0,3,3316,More than 1,A,Platinum,84433.19,Medium,5L-10L,More than 1,1
89593,Female,Urban,Bachelor,More than 10L,1,1,8009,More than 1,A,Gold,117916.28,Premium,More than 10L,More than 1,1
89594,Female,Rural,Others,5L-10L,1,4,5807,More than 1,B,Silver,83455.41,Medium,5L-10L,More than 1,1
89595,Female,Urban,Bachelor,2L-5L,1,5,3690,More than 1,A,Silver,88732.37,High,2L-5L,More than 1,1
89596,Male,Rural,High School,More than 10L,1,4,0,More than 1,A,Platinum,79407.52,Medium,More than 10L,More than 1,0
89597,Male,Rural,High School,5L-10L,0,1,5552,1,A,Platinum,44898.06,Low,5L-10L,1,1
89598,Male,Rural,Bachelor,5L-10L,0,0,4085,More than 1,A,Silver,83029.77,Medium,5L-10L,More than 1,1
89599,Male,Urban,High School,More than 10L,0,2,3995,More than 1,B,Silver,90119.73,High,More than 10L,More than 1,1
89600,Female,Urban,High School,2L-5L,1,6,3736,More than 1,B,Silver,94960.5,High,2L-5L,More than 1,1
89601,Female,Urban,High School,5L-10L,0,6,4888,More than 1,A,Platinum,94674.37,High,5L-10L,More than 1,1
89602,Male,Urban,High School,2L-5L,0,8,7701,More than 1,B,Platinum,96334.77,Premium,2L-5L,More than 1,1
89603,Female,Urban,High School,5L-10L,1,0,4278,More than 1,A,Platinum,88968.21,High,5L-10L,More than 1,1
89604,Female,Urban,High School,5L-10L,0,4,5406,More than 1,C,Gold,114825.88,Premium,5L-10L,More than 1,1
89605,Male,Urban,Bachelor,More than 10L,0,8,3250,More than 1,B,Platinum,86823.09,High,More than 10L,More than 1,1
89606,Female,Urban,High School,5L-10L,1,0,14315,More than 1,A,Silver,88724.64,High,5L-10L,More than 1,1
89607,Male,Urban,Bachelor,5L-10L,1,7,2131,More than 1,A,Gold,86588.64,High,5L-10L,More than 1,1
89608,Male,Urban,Bachelor,2L-5L,0,8,3655,More than 1,A,Silver,106356.22,Premium,2L-5L,More than 1,1
89609,Female,Rural,Bachelor,5L-10L,0,2,0,More than 1,C,Gold,92653.98,High,5L-10L,More than 1,0
89610,Male,Rural,High School,5L-10L,0,1,2282,More than 1,B,Platinum,84621.63,Medium,5L-10L,More than 1,1
89611,Male,Urban,Others,5L-10L,1,7,3293,More than 1,A,Silver,77702.18,Medium,5L-10L,More than 1,1
89612,Male,Urban,Bachelor,5L-10L,0,4,10910,More than 1,A,Platinum,115864.07,Premium,5L-10L,More than 1,1
89613,Female,Urban,High School,5L-10L,1,6,4223,More than 1,A,Platinum,91828.85,High,5L-10L,More than 1,1
89614,Female,Rural,High School,More than 10L,0,5,3908,1,A,Platinum,46736.11,Low,More than 10L,1,1
89615,Male,Urban,Bachelor,5L-10L,1,3,2209,More than 1,B,Silver,78848.04,Medium,5L-10L,More than 1,1
89616,Male,Urban,High School,5L-10L,1,2,5530,More than 1,C,Gold,112410.49,Premium,5L-10L,More than 1,1
89617,Female,Urban,High School,5L-10L,1,8,0,1,A,Silver,45870.53,Low,5L-10L,1,0
89618,Male,Rural,High School,2L-5L,1,6,0,More than 1,B,Platinum,75771.91,Medium,2L-5L,More than 1,0
89619,Female,Rural,High School,5L-10L,1,7,2569,1,A,Platinum,47892.56,Medium,5L-10L,1,1
89620,Male,Rural,High School,5L-10L,1,6,2537,More than 1,B,Platinum,77598.28,Medium,5L-10L,More than 1,1
89621,Male,Urban,Bachelor,2L-5L,1,3,9356,More than 1,A,Silver,107475.16,Premium,2L-5L,More than 1,1
89622,Male,Rural,High School,5L-10L,1,2,2858,More than 1,C,Platinum,82425.94,Medium,5L-10L,More than 1,1
89623,Male,Urban,High School,5L-10L,0,5,3224,More than 1,A,Platinum,93490.41,High,5L-10L,More than 1,1
89624,Male,Urban,High School,5L-10L,1,8,9240,More than 1,A,Gold,105691.75,Premium,5L-10L,More than 1,1
89625,Female,Urban,Bachelor,5L-10L,1,4,5573,1,C,Silver,43393.71,Low,5L-10L,1,1
89626,Female,Urban,High School,5L-10L,1,5,2731,More than 1,A,Gold,87863.74,High,5L-10L,More than 1,1
89627,Male,Rural,Bachelor,5L-10L,0,6,0,1,A,Gold,44106.65,Low,5L-10L,1,0
89628,Male,Urban,High School,More than 10L,1,7,6350,1,C,Gold,45080.73,Low,More than 10L,1,1
89629,Male,Urban,Bachelor,2L-5L,1,6,7573,More than 1,A,Silver,109727.67,Premium,2L-5L,More than 1,1
89630,Male,Urban,High School,5L-10L,1,1,3968,More than 1,A,Platinum,85823.5,High,5L-10L,More than 1,1
